username,password,categoryId,productId,itemId,purchaseId
quality1,12345678,FISH,FI-SW-01,EST-1,EST-1
quality2,12345678,DOGS,K9-BD-01,EST-6,EST-6
quality3,12345678,REPTILES,RP-SN-01,EST-11,EST-11
quality4,12345678,CATS,FL-DSH-01,EST-14,EST-14
quality5,12345678,BIRDS,AV-CB-01,EST-18,EST-18
quality6,12345678,BIRDS,AV-SB-02,EST-19,EST-19
quality7,12345678,CATS,FL-DLH-02,EST-16,EST-16
quality8,12345678,REPTILES,RP-LI-02,EST-13,EST-13
quality9,12345678,DOGS,K9-RT-02,EST-22,EST-22
quality10,12345678,FISH,FI-FW-02,EST-20,EST-20
